datetime;open;high;low;close;volume
2026-02-24 11:50:00;24976.4609375;24986.55078125;24976.349609375;24986.55078125;0
2026-02-24 11:55:00;24986.55078125;24995.689453125;24984.349609375;24995.5390625;0
2026-02-24 12:00:00;24995.5390625;25003.630859375;24992.919921875;24998.640625;0
2026-02-24 12:05:00;24998.640625;25008.740234375;24997.23046875;25000.4296875;0
2026-02-24 12:10:00;25000.400390625;25007.880859375;24997.4296875;25004.599609375;0
2026-02-24 12:15:00;25004.6796875;25005.669921875;24978.19921875;24981.390625;0
2026-02-24 12:20:00;24981.390625;24985.220703125;24971.740234375;24971.740234375;0
2026-02-24 12:25:00;24971.740234375;24976.30078125;24963.970703125;24964.119140625;0
2026-02-24 12:30:00;24964.66015625;24970.140625;24961.640625;24966.7890625;0
2026-02-24 12:35:00;24966.8203125;24966.8203125;24943.669921875;24943.830078125;0
2026-02-24 12:40:00;24943.529296875;24943.529296875;24927.220703125;24927.220703125;0
2026-02-24 12:45:00;24927.099609375;24929.490234375;24922.330078125;24925.599609375;0
2026-02-24 12:50:00;24925.599609375;24934.619140625;24915.19921875;24934.619140625;0
2026-02-24 12:55:00;24934.619140625;24944.939453125;24933.6796875;24941.109375;0
2026-02-24 13:00:00;24941.109375;24967.490234375;24941.109375;24953.099609375;0
2026-02-24 13:05:00;24953.099609375;24953.099609375;24934.41015625;24947.390625;0
2026-02-24 13:10:00;24947.390625;24960.5703125;24946.470703125;24954.5390625;0
2026-02-24 13:15:00;24954.48046875;24973.119140625;24954.48046875;24971.51953125;0
2026-02-24 13:20:00;24972.130859375;24976.76953125;24965.169921875;24970.580078125;0
2026-02-24 13:25:00;24970.4296875;24977.19921875;24958.26953125;24959.19921875;0
2026-02-24 13:30:00;24959.51953125;24966.33984375;24953.849609375;24962.19921875;0
2026-02-24 13:35:00;24962.2890625;24965.48046875;24954.48046875;24957.400390625;0
2026-02-24 13:40:00;24957.400390625;24961.130859375;24952.869140625;24959.419921875;0
2026-02-24 13:45:00;24959.560546875;24972;24959.5;24969.55078125;0
2026-02-24 13:50:00;24969.55078125;24975.650390625;24965.5703125;24974.810546875;0
2026-02-24 13:55:00;24974.900390625;24990.98046875;24974.900390625;24984.330078125;0
2026-02-24 14:00:00;24984.669921875;24985.720703125;24975.359375;24975.720703125;0
2026-02-24 14:05:00;24975.5390625;24980.83984375;24961.4609375;24962.19921875;0
2026-02-24 14:10:00;24962.30078125;24966.009765625;24953.859375;24955.30078125;0
2026-02-24 14:15:00;24955.30078125;24956.009765625;24938.400390625;24939.5703125;0
2026-02-24 14:20:00;24939.5703125;24945.439453125;24927.41015625;24931.26953125;0
2026-02-24 14:25:00;24931.0703125;24933.80078125;24919.509765625;24923.630859375;0
2026-02-24 14:30:00;24925.5;24926.529296875;24893.16015625;24905.720703125;0
2026-02-24 14:35:00;24907.19921875;24984.900390625;24903.0390625;24974.4609375;0
2026-02-24 14:40:00;24973.1796875;25024.779296875;24971.650390625;25024.400390625;0
2026-02-24 14:45:00;25024.599609375;25043.880859375;25015.580078125;25041.349609375;0
2026-02-24 14:50:00;25041.759765625;25051.630859375;25005.439453125;25010.75;0
2026-02-24 14:55:00;25012.509765625;25035.1796875;25006.08984375;25035.029296875;0
2026-02-24 15:00:00;25035.810546875;25036.48046875;25002.779296875;25018.240234375;0
2026-02-24 15:05:00;25018.109375;25033.369140625;25011.380859375;25031.259765625;0
2026-02-24 15:10:00;25030.060546875;25035.259765625;25012.73046875;25017.94921875;0
2026-02-24 15:15:00;25017.94921875;25036.009765625;25012.05078125;25035.51953125;0
2026-02-24 15:20:00;25035.240234375;25054.529296875;25029.890625;25052.619140625;0
2026-02-24 15:25:00;25053.359375;25084.109375;25050.2890625;25077.83984375;0
2026-02-24 15:30:00;25077.44921875;25091.94921875;25076.5;25079.099609375;0
2026-02-24 15:35:00;25078.490234375;25078.94921875;25060.080078125;25060.390625;0
2026-02-24 15:40:00;25060.830078125;25061.869140625;25053.359375;25053.359375;0
2026-02-24 15:45:00;25053.30078125;25053.30078125;25039.58984375;25047.240234375;0
2026-02-24 15:50:00;25047.310546875;25047.83984375;25024.779296875;25025.9609375;0
2026-02-24 15:55:00;25025.779296875;25028.359375;25012.3203125;25012.7890625;0
2026-02-24 16:00:00;25012.7890625;25018.619140625;25007.1796875;25007.1796875;0
2026-02-24 16:05:00;25007.599609375;25011.009765625;24991.810546875;25001.240234375;0
2026-02-24 16:10:00;25002.419921875;25020.759765625;24997.900390625;25020.759765625;0
2026-02-24 16:15:00;25020.669921875;25027.19921875;25011.4296875;25023.759765625;0
2026-02-24 16:20:00;25023.939453125;25024.099609375;25002.509765625;25011.509765625;0
2026-02-24 16:25:00;25011.869140625;25023.400390625;25011.7890625;25022.580078125;0
2026-03-03 16:30:00;23790.650390625;23790.650390625;23790.650390625;23790.650390625;0
